Application_ID,ApplicationName,ApplicationVersion,ApplicationUpdate
1,VVM,3.6.7_r1,No
2,VZM,5.5.20,Yes
3,VVM,3.8.25_r1,No
4,DefaultMessaging,1.2.1,No
5,VVM,2.0.489739,No
6,Dialer,1.2.1,No
7,DefaultMessaging,4.81.2,No
8,Gmail,5.4.97,Yes
9,XCAL,5.5.16,Yes
10,Dialer,4.56.2,No
11,AndFTP,4.2,Yes
12,PingTools,"3.12 Free",Yes
13,iPerf,2.06,Yes
14,Camera,7.30.569136,No
15,Facebook,9.22.569629,Yes
16,VVM,1.1.0,No
17,Call,1.0.0,No
18,VVM,3.0.1,No
19,Facebook,51.0.0.14.10,Yes
20,DefaultMessaging,5.5.30,No
21,DefaultMessaging,1.0.0,No
22,Facebook,41.0.0.25.131,Yes
28,VZM,5.6.6,Yes
29,ChromeBrowser,43.0.2357.93,Yes
30,ChromeBrowser,44.0.2403.133,Yes
31,Youtube,10.31.55,Yes
32,DefaultMessaging,4.4.4-3,No
33,Call,1.1.0,No
34,Call,1.0.1,No
35,DefaultMessaging,1.1.0,No
36,DefaultMessaging,1.0.1,No
37,Call,4.4.4-3,No
38,Call,4.40.25,No
39,VZM,5.5.30,Yes
40,VZM,5.5.13,Yes
41,VZM,5.6.7,Yes
42,Skype,6.7.0.460,Yes
43,Hangouts,5.0.104885319,Yes
44,Twitter,5.63.1,Yes
45,Gmail,5.5.101116392.release,Yes
46,YouTube,10.40.58,Yes
47,Call,4.50.84,No
49,ChromeBrowser,45.0.2454.84,Yes
50,VZM,5.5.33,Yes
51,DefaultMessaging,4.80.31,No
52,DefaultMessaging,4.4.17.1,No
53,Facebook,50.0.0.10.54,Yes
54,VVM,3.12.18.2,No
57,VVM,3.8.32,No
60,VVM,3.9.5,No
62,Twitter,5.81.0,Yes
63,Call,5.1.44,No
64,ChromeBrowser,39.0.2171.93,Yes
66,DefaultMessaging,5.1.44,No
67,VZM,5.6.8,Yes
68,ChromeBrowser,45.0.2454.94,Yes
69,DefaultMessaging,7.0.495858,No
71,Skype,6.6.0.333,Yes
72,Facebook,48.0.0.28.137,Yes
73,Gmail,5.7.105345578.release,Yes
74,Hangouts,5.0.104885319,Yes
75,Call,5.0.2-1,No
76,DefaultMessaging,29.0.D.0.22,No
77,IMDb,5.8.0.105800100,Yes
78,Call,4.40.25,No
79,Contacts,4.40.29,No
80,Audible,1.11.0,Yes
81,Contacts,5.0.1.0066065,No
82,VVM,3.11.16.2,No
83,Contacts,18.1.A.1.6,No
84,AmazonMP3,4.6.5,Yes
85,Calendar,20.0.D.3.9,No
86,Gallery,7.2.A.0.10,No
88,Call,4.60.71.16,No
89,DefaultMessaging,29.0.D.0.22,No
90,VZM,6.0.2,Yes
91,Hangouts,4.2.102354210,Yes
92,IMDb,5.7.0.105700100,Yes
93,Facebook,42.0.0.27.114,Yes
94,Gmail,5.7.104875269.release,Yes
95,Call,18.1.A.1.6,No
96,Call,4.4.4-4,No
97,DefaultMessaging,4.4.4-4,No
98,ChromeBrowser,46.0.2490.76,Yes
99,Gmail,"5.0.1 (1642443)",Yes
100,Hangouts,5.1.105976615,Yes
101,Twitter,5.82.0,Yes
102,Facebook,52.0.0.12.18,Yes
103,Skype,6.8.0.590,Yes
104,Gmail,5.7.105901136.release,Yes
105,DefaultMessaging,27.3.D.2.10,No
106,Call,4.4.4-1,No
107,Contacts,17.0.A.50,No
108,Contacts,5.1.1.0639280,No
109,Contacts,5.1.1.0827277,No
110,IMDb,6.0.2.106020300,Yes
111,Audible,2.0.0,Yes
112,VVM,3.9.6,No
113,DefaultMessaging,4.81.17,No
114,DefaultMessaging,v4.20.4,No
115,Contacts,5.1.1.1067523,No
116,Call,4.50.38.1,No
117,Call,5.1.1.1067523,No
118,Gmail,5.8.107203005.release,Yes
119,Skype,6.10.0.620,Yes
120,Twitter,5.85.0,Yes
121,YouTube,10.43.60,Yes
122,Facebook,54.0.0.23.62,Yes
123,Facebook,55.0.0.18.66,Yes
124,Call,4.40.29,No
125,Skype,6.11.0.518,Yes
127,Gallery,1.21.1510.231,No
128,Calendar,3.1.1.15102918,No
129,IMDb,6.0.4.106040400,Yes
130,Contacts,5.1.1.0703835,No
131,Hangouts,6.0.107278502,Yes
132,Gallery,2.0.7301138,No
133,Calendar,5.1.1-G360VVRU3BOK2,No
134,IMDb,6.0.5.106050100,Yes
135,Call,4.40.50,No
136,VZM,6.0.6,Yes
137,Call,5.0.1.4640090,No
138,Call,5.1.1.0703835,No
139,Call,5.1.1.0827277,No
140,Call,2.06,No
141,DefaultMessaging,29.0.D.1.7,No
142,Gallery,7.2.A.0.12,No
143,Calendar,20.0.B.1.23,No
144,VVM,3.11.17.7,No
145,Gallery,4.40.31,No
146,Calendar,4.40.21,No
147,Facebook,56.0.0.23.68,Yes
148,Skype,6.12.0.585,Yes
149,Call,1.0,No
150,Contacts,18.1.A.1.6,No
151,Call,4.60.71.30,No
152,Contacts,4.56.21,No
153,DefaultMessaging,4.81.21,No
154,Contacts,4.50.38.1,No
155,Twitter,5.86.0,Yes
156,VVM,3.12.18.4,No
157,VZM,6.0.8,Yes
158,ChromeBrowser,47.0.2526.76,Yes
159,Contacts,5.0.1.4640090,No
160,DefaultMessaging,2.06n,No
161,Twitter,5.87.0,Yes
162,Skype,6.14.0.665,Yes
163,Facebook,57.0.0.18.136,Yes
164,YouTube,10.47.54,Yes
165,YouTube,10.47.55,Yes
166,Hangouts,6.1.109448852,Yes
167,IMDb,6.0.6.106060100,Yes
168,VerizonCloud,15.4.23.1,No
169,VSP,4.0.0,Yes
170,Contacts,5.1.1.1175366,No
171,VZM,6.1.3,Yes
174,DefaultMessaging,2.0.52,No
175,ChromeBrowser,47.0.2526.83,Yes
176,Facebook,58.0.0.28.70,Yes
177,Twitter,5.89.0,Yes
178,Skype,6.15.0.1162,Yes
179,YouTube,10.49.59,Yes
180,Gmail,5.9.109452737.release,Yes
181,Call,5.1.1.1175366,No
182,Contacts,2.0.74,No
183,IMDb,6.0.7.106070100,Yes
184,Gallery,2.0.11051958,No
185,Calendar,2.1.5.15111619,No
186,VVM,3.12.19.11,No
187,Twitter,5.90.0,Yes
188,DefaultMessaging,4.85.15.2,No
189,Call,4.70.28.37,No
190,Contacts,4.70.19.1,No
191,VerizonCloud,15.4.23.2,No
192,Gallery,4.70.22,No
193,Calendar,4.70.9,No
194,Facebook,59.0.0.15.313,Yes
195,Twitter,5.91.0,Yes
196,DefaultMessaging,4.4.4-N915VVRE1AOC2,No
197,Call,4.4.4-N915VVRE1AOC2,No
198,Contacts,4.4.4-N915VVRE1AOC2,No
199,Twitter,"5.91.0 ",Yes
200,Facebook,60.0.0.16.76,Yes
201,Twitter,5.92.0,Yes
202,Skype,6.17.0.420,Yes
203,Gallery,1.22.2.1512.141,No
204,Calendar,3.2.1.15121618,No
205,Contacts,5.1.1.1113823,No
206,Facebook,61.0.0.15.69,Yes
207,Skype,6.18.0.911,Yes
208,Twitter,5.93.0,Yes
209,ChromeBrowser,48.0.2564.95,Yes
210,DefaultMessaging,7.10.684100,No
211,Call,7.20.692816,No
212,Contacts,7.20.692816,No
213,Skype,6.19.0.460,Yes
214,Twitter,5.94.0,Yes
215,YouTube,11.01.56,Yes
216,Hangouts,7.0.113317058,Yes
217,Gmail,5.10.112808100.release,Yes
218,Gallery,4.70.25,No
219,Calendar,4.70.11,No
220,Contacts,4.70.22,No
221,Call,4.70.32.34,No
222,DefaultMessaging,4.85.18,No
223,Gallery,9.22.698770,No
224,Calendar,7.01.591006,No
225,BasicSanity,1.0.0,No
226,Facebook,62.0.0.42.77,Yes
227,Call,7.20.676061,No
228,Facebook,63.0.0.37.81,Yes
229,Twitter,5.95.0,Yes
230,Calendar,1.1.1.7958,No
231,Calendar,3.0.91,No
232,Gallery,2.0.99,No
233,Skype,6.20.0.618,Yes
234,Gmail,5.2.93937770,Yes
235,Call,7.20.676673,No
236,Contacts,7.10.568534,No
237,IMDb,6.0.8.106080200,Yes
238,DefaultMessaging,2.0.93,No
239,Contacts,2.0.10,No
240,VVM,4.1.20,No
241,Call,1.0.10,No
242,Skype,6.21.0.560,Yes
243,Twitter,5.96.0,Yes
245,YouTube,11.04.56,Yes
246,Facebook,64.0.0.52.76,Yes
247,VerizonCloud,16.1.23,Yes
248,Gmail,5.11.115209765.release,Yes
249,Skype,6.22.0.680,Yes
250,Twitter,5.97.0,Yes
251,Facebook,65.0.0.42.81,Yes
252,Call,4.60.95.31,No
253,Contacts,4.56.27,No
254,DefaultMessaging,4.81.23,No
255,Calendar,1.1.2.9470,No
256,Gallery,1.14.0.114800181,Yes
257,DefaultMessaging,2.0.94,No
258,Contacts,2.0.26,No
259,Twitter,5.98.0,Yes
260,Facebook,66.0.0.33.73,Yes
261,Call,1.0.17,No
262,Gallery,2.0.98,No
263,Calendar,3.0.94,No
264,IMDb,6.1.0.106100200,Yes
265,Skype,6.23.0.702,Yes
266,Gmail,6.0.115979076.release,Yes
267,Gallery,2.1.03,No
268,Calendar,3.0.98,No
269,Facebook,67.0.0.21.154,Yes
270,Skype,6.24.0.1006,Yes
271,Twitter,5.99.0,Yes
272,YouTube,11.07.59,Yes
273,Contacts,5.0.1.1549747,No
274,Contacts,6.0.1,No
275,DefaultMessaging,6.0.1,No
276,Call,2.21,No
277,VVM,3.04.05,No
278,VVM,3.13.0.5,No
279,Call,5.0.13.2,No
280,Contacts,5.0.13.2,No
281,DefaultMessaging,5.10.17,No
282,ChromeBrowser,49.0.2623.91,Yes
283,Twitter,5.100.0,Yes
284,DefaultMessaging,4.85.20,No
285,Call,4.70.40.30,No
286,Contacts,4.70.33,No
287,Call,4.70.33,No
288,VSP,4.0.3,Yes
289,VZIndycar,9.2.1.788,Yes
290,Email,3.1.06,No
291,VZM,6.2.2,Yes
292,VVM,4.1.25,No
293,ChromeBrowser,49.0.2623.105,Yes
294,Contacts,2.0.27,No
295,DefaultMessaging,2.1.02,No
296,Contacts,3.2.27,No
297,Skype,6.28.0.510,Yes
298,Facebook,71.0.0.17.73,Yes
299,Twitter,5.104.0,Yes
300,Call,2.0.17,No
301,YouTube,11.10.60,Yes
302,Gmail,6.3.117716127.release,Yes
303,Hangouts,8.0.116581895,Yes
304,Contacts,2.0.62,No
305,DefaultMessaging,2.1.22,No
306,Skype,6.29.0.758,Yes
307,Facebook,72.0.0.22.69,Yes
308,YouTube,11.13.56,Yes
309,VVM,4.1.20_r1,No
310,VerizonCloud,16.2.19,Yes
311,VZM,6.2.3,Yes
312,IMDb,6.1.3.106130200,Yes
313,VSP,4.0.4,Yes
314,ChromeBrowser,50.0.2661.89,Yes
316,PTTPlus,7.10.1.20,Yes
317,VVM,3.13.0.9,No
318,VZIndycar,9.2.2.814,Yes
319,VerizonCloud,17.3.6,Yes
320,VVM,8.00.741396,No
321,Call,5.0.30,No
322,Contacts,5.0.30,No
323,DefaultMessaging,5.10.27,No
324,iMessages,1,Yes
325,Facebook,77.0.0.20.66,Yes
326,Skype,6.34.0.715,Yes
327,Twitter,5.110.0,Yes
328,YouTube,11.16.62,Yes
329,Hangouts,8.1.121732641,Yes
330,IMDb,6.1.5.106150100,Yes
331,Gmail,6.4.120760496.release,Yes
332,Calendar,5.0.17,No
333,Gallery,5.1.17,No
334,Contacts,3.2.49,No
335,Skype,7.01.0.669,Yes
336,Twitter,5.111.0,Yes
337,YouTube,11.19.56,Yes
338,Gmail,6.5.123664905.release,Yes
339,Calendar,2.2.72,No
340,Gallery,1.0.73,No
341,Contacts,2.1.99,No
342,DefaultMessaging,2.1.48,No
343,Email,5.0.0.0400,No
344,VVM,4.1.34,No
345,Email,3.3.12,No
346,ChromeBrowser,51.0.2704.81,Yes
347,Call,6.0.1,No
348,Facebook,80.0.0.21.65,Yes
349,Twitter,6.0.0,Yes
350,Skype,7.02.0.410,Yes
351,Hangouts,10.0.123391178,Yes
352,Gmail,6.5-1.123769152.release,Yes
353,Gallery,2.1.67,No
354,Calendar,3.1.37,No
355,VVM,3.05.05,No
356,Email,MOTOEMAIL-00.00.04.0010,No
357,VZM,6.3,Yes
358,Call,1.1.98,No
359,VZM,6.3.1,Yes
360,YouTube,11.22.56,Yes
361,Twitter,6.2.0,Yes
362,Facebook,82.0.0.23.70,Yes
363,Skype,7.04.0.618,Yes
364,VZM,6.3.3,Yes
365,Facebook,83.0.0.20.71,Yes
366,Twitter,6.3.0,Yes
367,Skype,7.05.0.514,Yes
368,YouTube,11.23.56,Yes
369,IMDb,6.1.6.106160300,Yes
370,Gallery,4.72.6,No
371,Calendar,4.70.15,No
372,Call,4.70.45,No
373,Contacts,4.70.45,No
374,Twitter,6.4.0,Yes
375,Email,3.3.20,No
376,Facebook,84.0.0.20.70,Yes
377,Twitter,6.5.0,Yes
378,Skype,7.06.0.617,Yes
379,YouTube,11.25.55,Yes
380,Gallery,2.1.92,No
381,Calendar,3.1.55,No
382,IMDb,6.1.7.106170100,Yes
383,VVM,3.13.0.7,No
384,Facebook,85.0.0.15.70,Yes
385,Twitter,6.6.0,Yes
386,Skype,7.06.0.643,Yes
387,YouTube,11.27.53,Yes
388,Gmail,6.6.126913422.release,Yes
389,IMDb,6.1.8.106180300,Yes
390,VVM,7.10.769903,No
391,Call,5.0.25,No
392,Contacts,5.0.25,No
393,Hangouts,11.0.125976520,Yes
394,YouTube,11.25.59,Yes
395,Facebook,86.0.0.19.69,Yes
396,Email,6.70.25,No
397,Gallery,5.1.17,No
398,Calendar,5.0.12,No
399,Skype,7.08.0.557,Yes
400,Email,9.50.767567,No
401,VZM,6.4.42,Yes
402,Facebook,88.0.0.22.76,Yes
403,Twitter,6.9.1,Yes
404,Skype,7.11.0.559,Yes
405,YouTube,11.29.53,Yes
406,Gmail,6.7.128801648.release,Yes
407,Email,MOTOEMAIL.00.04.5006,No
408,Twitter,6.10.0,Yes
409,YouTube,11.29.55,Yes
410,VZIndycar,9.2.3.858,Yes
411,Facebook,90.0.0.20.70,Yes
412,Skype,7.12.0.605,Yes
413,IMDb,6.2.0.106200100,Yes
414,Email,5.2.0-0219_1700,No
415,Call,4.70.28.48,No
416,DefaultMessaging,4.85.24,No
417,ChromeBrowser,52.0.2743.98,Yes
418,PTTPlus,8.0.2.40,Yes
419,Email,MOTOEMAIL.00.05.0070,No
420,VVM,1.1.10,No
421,Contacts,5.1.1.1937420,No
422,VVM,8.00.770728,No
423,Call,8.00.762445,No
424,Contacts,8.00.762445,No
425,DefaultMessaging,8.00.770728,No
426,Email,6.67.22.1,No
427,Email,10.00.774982,No
428,Facebook,91.0.0.17.68,Yes
429,YouTube,11.32.53,Yes
430,Skype,7.13.0.708,Yes
431,Twitter,6.11.0,Yes
432,Hangouts,12.0.130004787,Yes
433,Calendar,5.0.12,No
434,Gallery,2.1.39,No
435,Calendar,3.1.31,No
436,Call,1.1.20,No
437,Contacts,2.1.60,No
438,DefaultMessaging,2.1.59,No
439,Email,3.3.36,No
440,Call,5.0.44.12,No
441,Contacts,5.0.44,No
442,DefaultMessaging,5.10.32,No
443,DefaultMessaging,1.0.7VZ,No
444,VVM,1.2.37,No
445,Gmail,6.8.130963407.release,Yes
446,Twitter,6.12.0,Yes
447,VVM,3.13.0.12,No
448,Email,6.70.29,No
449,Facebook,92.0.0.16.72,Yes
450,Call,1.0.30,No
451,Skype,7.14.0.305,Yes
452,Email,1.0.18,No
453,VSP,4.1.0,Yes
454,Email,1.5.0.93_160808,No
455,VZIndycar,9.3.0.886,Yes
456,Email,4.4.2.0300,No
457,VVM,3.05.03,No
458,Settings,1.0.0,No
459,VerizonCloud,17.4.11,No
460,UIAutomation,1.0.0,No
461,Facebook,94.0.0.17.68,Yes
462,Skype,7.16.0.507,Yes
463,Twitter,6.14.0,Yes
464,YouTube,11.35.60,Yes
465,IMDb,6.2.1.106210200,Yes
466,Gallery,530035,No
467,Calendar,5.4-119873917-release,No
468,Email,5.1-IR7_20C58,No
469,Speedtest,3.2.23,Yes
470,Facebook,95.0.0.13.69,Yes
471,Twitter,6.15.0,Yes
472,Skype,7.17.0.461,Yes
473,Gmail,6.9.133109232.release,Yes
474,Calendar,5.0.20,No
475,Gallery,5.1.21,No
476,Email,6.0.1,No
477,VVM,3.14.0.11,No
478,Facebook,96.0.0.17.70,Yes
479,Facebook,97.0.0.18.69,Yes
480,Twitter,6.17.0,Yes
481,Skype,7.19.0.607,Yes
482,YouTube,12.37.59,Yes
483,IMDb,6.2.2.106220100,Yes
484,Gmail,6.9.11.134426830.release,Yes
485,Facebook,98.0.0.18.70,Yes
486,YouTube,11.39.56,Yes
487,VVM,3.05.06,No
488,VerizonCloud,16.4.28.1,No
489,VVM,1.0,No
490,Gallery,9.50.743254,No
491,Skype,7.20.0.411,Yes
492,Twitter,6.18.0,Yes
493,Calendar,8.20.776481,No
494,Gmail,6.9.25.134833125.release,Yes
495,Hangouts,13.0.134811930,Yes
496,Call,7.40.766218,No
497,Contacts,7.40.766218,No
498,DefaultMessaging,7.10.773321,No
499,ChromeBrowser,54.0.2840.68,Yes
500,Facebook,99.0.0.26.69,Yes
501,VVM,3.12.19.13,No
502,Twitter,6.20.0,Yes
503,Skype,7.21.0.358,Yes
504,IMDb,6.2.3.106230100,Yes
505,VerizonCloud,16.4.28.9,No
506,Calendar,4.70.16,No
507,Facebook,100.0.0.20.70,Yes
508,Skype,7.22.0.322,Yes
509,Gmail,6.10.9.136347105.release,Yes
510,DefaultMessaging,5.10.29,No
511,Call,5.0.45.30,No
512,Contacts,5.0.35,No
513,YouTube,11.41.56,Yes
514,QuickAppSanity,1.0.0,No
515,VSP,4.2.0,Yes
516,Facebook,101.0.0.18.70,Yes
517,Email,3.3.46,No
518,Twitter,6.22.0,Yes
519,Hangouts,14.0.136618992,Yes
520,VZM,6.3.10,Yes
521,Facebook,104.0.0.17.71,Yes
522,YouTube,11.43.54,Yes
523,Skype,7.26.0.288,Yes
524,Twitter,6.24.0,Yes
525,IMDb,6.2.5.106250100,Yes
526,Gmail,6.10.23.137993986.release,Yes
527,Calendar,5.6.6-137495241-release,No
528,VVM,7.10.799515,No
529,Calendar,8.10.763976,No
530,PTTPlus,8.0.2.58,Yes
531,Gmail,6.11.6.140557227.release,Yes
532,IMDb,6.2.6.106260300,Yes
533,YouTube,11.45.59,Yes
534,Facebook,105.0.0.23.137,Yes
535,VSP,4.2.1,Yes
536,Call,5.0.44.34,No
537,YouTube,11.47.57,Yes
538,Gmail,6.11.27.14182707.release,Yes
539,Facebook,106.0.0.26.68,Yes
540,Skype,7.29.0.370,Yes
541,Twitter,6.27.0,Yes
542,Hangouts,15.0.141104777,Yes
543,Twitter,6.27.1,Yes
544,IMDb,6.3.1.106310100,Yes
545,Gmail,6.11.27.141872707.release,Yes
546,VZM,6.4.4,Yes
547,VZIndycar,10.2.0.1176,Yes
548,VVM,8.00.830439,No
549,Email,1.1.1.1.1.1,No
550,VZM,6.4.42,Yes
551,VerizonCloud,16.5.33,Yes
552,PTTPlus,8.1.0.39,Yes
553,VVM,3.06.04,No
554,Facebook,110.0.0.15.69,Yes
555,Skype,7.34.0.114,Yes
556,Twitter,6.34.0,Yes
557,YouTube,12.03.57,Yes
558,Hangouts,16.0.144731464,Yes
559,IMDb,6.4.0.106400100,Yes
560,Calendar,5.6.6-137495241-release,No
561,Gmail,7.1.15.145691033.release,Yes
562,Gallery,540004,No
563,Email,MOTOEMAIL.00.07.0072,No
564,DefaultMessaging,"2.0.770 (3645109-49.phone)",No
565,ChromeBrowser,55.0.2883.91,Yes
566,VZM,6.4.6,Yes
567,Contacts,2.2.02,No
568,DefaultMessaging,2.1.50,No
569,ChromeBrowser,56.0.2924.87,Yes
570,Contacts,3.3.05,No
571,VerizonCloud,17.1.23,Yes
572,VVM,5.0.36,No
573,VVM,3.14.1.3,No
574,Skype,7.36.0.103,Yes
575,Twitter,6.36.0,Yes
576,YouTube,12.05.53,Yes
577,Hangouts,17.0.148298972,Yes
578,IMDb,6.4.1.106410100,Yes
579,VVM,3.15.2.8,No
580,Facebook,117.0.0.18.47,Yes
581,VVM,3.06.05,No
582,Twitter,7.12.0,Yes
583,VVM,10.0.13,No
584,YouTube,12.15.55,Yes
585,Hangouts,18.0.150813355,Yes
586,Gmail,7.4.23.154506495.release,Yes
587,YouTube,12.17.54,Yes
588,Twitter,6.46.0,Yes
589,VVM,5.0.48,No
590,VVM,3.06.06,No
591,VVM,10.0.15,No
592,VVM,5.0.49,No
593,DMAT,2.1.0_Dev4_M,No
594,VZM,6.4.42,Yes
595,VZM,6.4.212,Yes
596,VerizonCloud,17.2.12,Yes
597,VZM,6.4.39,Yes
598,Youtube,11.38.54,Yes
599,Email,6.85.11,No
600,VVM,3.16.2.3,No
601,Whatsapp,1.0,Yes
602,Gmail,1.0,Yes
